id,ticker,company,price,change,signal,scraped_at,trade_date,volume
ab4f7cf7-8282-42f1-83c6-7cdc75944cf8,MANSARD,AXA Mansard Insurance Plc,₦14.60,+4.29%,BUY @ 14.6,2026-05-17T10:42:42.742056,2026-05-17,1500000
3c16b0bc-4f37-4d20-8f24-4acd2172baad,CHAMPION,Champion Breweries Plc,₦14.60,+0.34%,HOLD @ 14.6,2026-05-17T10:42:42.742056,2026-05-17,1200000
76dffd7e-db47-42b9-8f4c-16b3c3c9efd0,CORNERST,Cornerstone Insurance Plc,₦6.00,-6.67%,SELL @ 6.0,2026-05-17T10:42:42.742056,2026-05-17,2000000
bf294954-666d-4e17-90cf-b2b1a30d40f8,ABBEYBDS,Abbey Mortgage Bank Plc,₦7.30,-8.75%,SELL @ 7.3,2026-05-17T10:42:42.742056,2026-05-17,800000
7887b94f-2eae-41a6-b31d-c6e1e9299db2,UPDC,UPDC Plc,₦4.25,+4.71%,BUY @ 4.25,2026-05-17T10:42:42.742056,2026-05-17,1500000
c50932b9-7bf9-4a12-aa04-32d00a37d44a,VFDGROUP,VFD Group PLC,₦10.95,+0.46%,HOLD @ 10.95,2026-05-17T10:42:42.742056,2026-05-17,500000
93b61e59-5b56-49a7-a1ae-d303f3fe65ae,IKEJAHOTEL,Ikeja Hotel Plc,₦39.60,+0.00%,NO DATA,2026-05-17T10:42:42.742056,2026-05-17,300000
714f8815-2d42-438b-b1b1-59ac5e06ced1,MBENEFIT,Mutual Benefits Assurance Plc,₦4.30,+4.62%,BUY @ 4.3,2026-05-17T10:42:42.742056,2026-05-17,2500000
8cdbcc0a-58ec-4b18-8621-77c8ac6bf639,CAP,Chemical and Allied Products Plc,₦233.70,+0.00%,NO DATA,2026-05-17T10:42:42.742056,2026-05-17,200000
557ce3b6-a0d7-4f8a-8391-27ebffec5dae,INFINITY,Infinity Trust Mortgage Bank Plc,₦9.35,+0.00%,NO DATA,2026-05-17T10:42:42.742056,2026-05-17,600000
349196d1-9ba3-4775-8bb3-55df8424b252,WAPIC,Coronation Insurance Plc,₦2.70,-6.25%,SELL @ 2.7,2026-05-17T10:42:42.742056,2026-05-17,2000000
